iyear,country_txt,city,latitude,longitude,summary,attacktype1_txt,targtype1_txt,gname,nkill,nwound
1997,Indonesia,Dili,-8.54966,125.566599,,Armed Assault,Police,Unknown,4,7
1997,Algeria,Bakura,,,,Unknown,Private Citizens & Property,Unknown,14,4
1997,Indonesia,Jakarta,-6.312279,106.784433,,Bombing/Explosion,Police,East Timorese extremists,17,6
1997,Somalia,Baidoa,3.115641,43.64658,,Armed Assault,Private Citizens & Property,Unknown,10,6
1997,Turkey,Cizre,37.33083,42.184602,,Bombing/Explosion,Police,Unknown,6,50
1997,Algeria,Algiers,36.763763,3.055413,,Bombing/Explosion,Transportation,Unknown,8,77
1997,Algeria,Algiers,36.763763,3.055413,,Bombing/Explosion,Private Citizens & Property,Unknown,5,10
1997,India,Pathankot,32.264338,75.642112,,Bombing/Explosion,Transportation,Unknown,7,13
1997,India,Nambol,24.713084,93.83844,,Unknown,Police,Separatists,7,4
1997,India,Chamaru,31.104167,77.655,,Armed Assault,Police,Separatists,18,10
1997,Pakistan,Karachi,24.891115,67.143311,,Armed Assault,Unknown,Unknown,5,8
1997,Pakistan,Karachi,24.891115,67.143311,,Armed Assault,Unknown,Unknown,5,8
1997,Pakistan,Karachi,24.891115,67.143311,,Armed Assault,Unknown,Unknown,5,8
1997,Pakistan,Karachi,24.891115,67.143311,,Armed Assault,Unknown,Unknown,5,8
1997,Pakistan,Karachi,24.891115,67.143311,,Armed Assault,Unknown,Unknown,5,8
1997,Pakistan,Karachi,24.891115,67.143311,,Armed Assault,Unknown,Unknown,5,8
1997,Pakistan,Karachi,24.891115,67.143311,,Armed Assault,Unknown,Unknown,5,8
1997,Pakistan,Karachi,24.891115,67.143311,,Armed Assault,Unknown,Unknown,5,8
1997,Pakistan,Karachi,24.891115,67.143311,,Armed Assault,Unknown,Unknown,5,8
1997,Pakistan,Karachi,24.891115,67.143311,,Armed Assault,Unknown,Unknown,5,8
1997,Pakistan,Karachi,24.891115,67.143311,,Armed Assault,Unknown,Unknown,5,8
1997,Pakistan,Karachi,24.891115,67.143311,,Armed Assault,Unknown,Unknown,5,8
1997,Pakistan,Karachi,24.891115,67.143311,,Armed Assault,Unknown,Unknown,5,8
1997,Pakistan,Karachi,24.891115,67.143311,,Armed Assault,Violent Political Party,Unknown,4,14
1997,India,Unknown,26.200605,92.937574,,Bombing/Explosion,Military,United Liberation Front of Assam (ULFA),6,4
1997,Burundi,Gihanga,-3.193543,29.306158,,Bombing/Explosion,Private Citizens & Property,Unknown,12,6
1997,Russia,Torbino,58.580278,32.881944,,Bombing/Explosion,Transportation,Unknown,5,11
1997,Colombia,Solano district,0.69905,-75.25521,,Unknown,Military,Revolutionary Armed Forces of Colombia (FARC),5,17
1997,India,Unknown,26.158435,94.562443,,Unknown,Military,Separatists,6,10
1997,Pakistan,Sialkot,32.493537,74.530343,,Bombing/Explosion,Transportation,Unknown,8,21
1997,India,Machareddi,18.331457,78.496504,,Bombing/Explosion,Private Citizens & Property,People's War Group (PWG),4,5
1997,Cambodia,Phnom Penh,11.558831,104.917445,,Armed Assault,Government (General),Cambodian People's Party (CPP),48,118
1997,India,Churachandpur district,24.346092,93.699904,,Armed Assault,Private Citizens & Property,Kuki tribesmen,25,5
1997,India,Unknown,26.200605,92.937574,,Unknown,Military,National Socialist Council of Nagaland,5,5
1997,India,Bhatinda,30.210994,74.945474,,Bombing/Explosion,Transportation,Unknown,39,67
1997,Russia,Khasavyurt district,43.390031,46.616657,,Bombing/Explosion,Police,Unknown,7,13
1997,Sri Lanka,Thoppur,8.404581,81.312434,,Unknown,Police,Liberation Tigers of Tamil Eelam (LTTE),8,18
1997,Algeria,Afir,36.837629,3.995129,,Bombing/Explosion,Transportation,Islamist extremists,7,11
1997,Algeria,Algiers,36.763763,3.055413,,Bombing/Explosion,Private Citizens & Property,Unknown,21,40
1997,Burundi,Nyanza-Lac district,-4.342097,29.599754,,Armed Assault,Private Citizens & Property,Unknown,13,13
1997,India,Wokha,26.091035,94.258974,,Armed Assault,Military,National Socialist Council of Nagaland,8,15
1997,Israel,Jerusalem,31.771599,35.2034,,Bombing/Explosion,Private Citizens & Property,Hamas (Islamic Resistance Movement),15,170
1997,Uganda,Kampala,0.350848,32.580224,,Bombing/Explosion,Private Citizens & Property,Unknown,8,40
1997,Uganda,Kampala,0.350848,32.580224,,Bombing/Explosion,Private Citizens & Property,Unknown,8,40
1997,Algeria,Sidi el Madani,35.26816,-1.51178,,Armed Assault,Private Citizens & Property,Islamist extremists,38,12
1997,Algeria,Blida,36.480453,2.83388,,Armed Assault,Transportation,Unknown,8,7
1997,Philippines,Zamboanga City,6.929089,122.07885,,Armed Assault,Private Citizens & Property,Unknown,5,4
1997,Algeria,Djelfa,34.666667,3.25,,Bombing/Explosion,Religious Figures/Institutions,Unknown,10,20
1997,Pakistan,Warburton,31.539805,73.833084,,Armed Assault,Private Citizens & Property,Unknown,9,9
1997,India,Silanibari,,,,Bombing/Explosion,Transportation,Unknown,7,8
1997,Egypt,Manfalut,27.31284,30.967388,,Armed Assault,Police,Al-Gama'at al-Islamiyya (IG),5,8
1997,Algeria,El-Affroun,36.46748,2.622848,,Bombing/Explosion,Transportation,Unknown,8,28
1997,Algeria,Algiers,36.763763,3.055413,,Bombing/Explosion,Private Citizens & Property,Unknown,4,49
1997,India,Jaipur,26.912434,75.787271,,Unknown,Government (General),United Liberation Front of Assam (ULFA),4,9
1997,Somalia,Baidoa,3.115641,43.64658,,Unknown,Private Citizens & Property,Rahanwein Resistance Army (RRA),17,29
1997,Algeria,Algiers,36.763763,3.055413,,Bombing/Explosion,Religious Figures/Institutions,Unknown,8,22
1997,Algeria,Sidi Rais,36.612427,3.124495,,Armed Assault,Private Citizens & Property,Unknown,256,194
1997,Colombia,San Miguel,0.342871,-76.909656,,Armed Assault,Private Citizens & Property,Revolutionary Armed Forces of Colombia (FARC),24,5
1997,Djibouti,Unknown,12.186111,42.89,,Bombing/Explosion,Military,Unknown,11,16
1997,Israel,Jerusalem,31.771599,35.2034,,Bombing/Explosion,Private Citizens & Property,Unknown,7,192
1997,Algeria,Beni Messous,36.783146,2.983242,,Armed Assault,Private Citizens & Property,Unknown,50,60
1997,Colombia,Yali,6.6752,-74.84211,,Unknown,Police,National Liberation Army of Colombia (ELN),5,13
1997,Senegal,Djibinor,12.545556,-16.259167,,Unknown,Private Citizens & Property,Unknown,9,17
1997,Burundi,Tonganya,,,,Armed Assault,Private Citizens & Property,Unknown,9,10
1997,Sri Lanka,Pulmoddai,8.941674,80.986695,,Bombing/Explosion,Maritime,Liberation Tigers of Tamil Eelam (LTTE),37,10
1997,Burundi,Rumonge,-3.967065,29.436166,,Unknown,Private Citizens & Property,Hutu extremists,7,10
1997,Egypt,Cairo,30.084629,31.334314,,Armed Assault,Tourists,Unknown,10,9
1997,Algeria,Baraki,36.66655,3.09606,,Armed Assault,Private Citizens & Property,Unknown,85,67
1997,Uganda,Kasese,0.169899,30.078078,,Unknown,Private Citizens & Property,Allied Democratic Forces (ADF),13,6
1997,Somalia,Baidoa,3.115641,43.64658,,Unknown,Private Citizens & Property,Rahanwein Resistance Army (RRA),14,17
1997,Algeria,Blida,36.480453,2.83388,,Bombing/Explosion,Private Citizens & Property,Unknown,12,85
1997,Sri Lanka,Aranthalawa,7.528,81.477833,,Unknown,Police,Liberation Tigers of Tamil Eelam (LTTE),7,16
1997,Uganda,Kabereere,0.064628,30.066524,,Unknown,Private Citizens & Property,Allied Democratic Forces (ADF),18,7
1997,Lebanon,Unknown,,,,Bombing/Explosion,Military,Hezbollah,5,8
1997,Burundi,Bubanza,-3.080156,29.397914,,Bombing/Explosion,NGO,Unknown,7,15
1997,Colombia,Puerto Rico,,,,Armed Assault,Private Citizens & Property,Revolutionary Armed Forces of Colombia (FARC),6,5
1997,Burundi,Karinzi V.,,,,Bombing/Explosion,Private Citizens & Property,Hutu extremists,22,39
1997,Algeria,Maghnin,34.854797,-1.731727,,Armed Assault,Transportation,Unknown,41,15
1997,Philippines,Awang,7.161138,124.215343,,Bombing/Explosion,Police,Egyptians,5,6
1997,Rwanda,Mutura,-1.587877,29.381578,,Unknown,Private Citizens & Property,Hutu extremists,37,14
1997,Sri Lanka,Colombo,6.941837,79.861687,,Bombing/Explosion,Business,Liberation Tigers of Tamil Eelam (LTTE),18,105
1997,Sri Lanka,Colombo,6.941837,79.861687,,Bombing/Explosion,Business,Liberation Tigers of Tamil Eelam (LTTE),18,105
1997,Colombia,Caicedo,6.405198,-75.982694,,Bombing/Explosion,Private Citizens & Property,Revolutionary Armed Forces of Colombia (FARC),14,5
1997,Sri Lanka,Murunkan,8.834273,80.051047,,Unknown,Police,Liberation Tigers of Tamil Eelam (LTTE),5,6
1997,Burundi,Rumonge district,-3.967065,29.436166,,Armed Assault,Private Citizens & Property,Unknown,8,12
1997,Burundi,Bujumbura,-3.375828,29.364107,,Unknown,Private Citizens & Property,Unknown,4,10
1997,India,Srinagar,34.08374,74.789902,,Bombing/Explosion,Transportation,Unknown,12,12
1997,Burundi,Teza,-3.209682,29.563585,,Bombing/Explosion,Private Citizens & Property,Unknown,9,47
1997,Pakistan,Peshawar,34.006004,71.53743,,Bombing/Explosion,Private Citizens & Property,Unknown,10,32
1997,Somalia,Hudur district,4.123091,43.890845,,Armed Assault,Terrorists/Non-State Militia,Rahanwein Resistance Army (RRA),11,17
1997,Somalia,Bakol,4.346389,43.549722,,Unknown,Terrorists/Non-State Militia,Rahanwein Resistance Army (RRA),12,23
1997,Burundi,Mutara,-3.19755,30.182785,,Armed Assault,Private Citizens & Property,Unknown,8,6
1997,Colombia,Totoro,2.51379,-76.38945,,Unknown,Private Citizens & Property,Revolutionary Armed Forces of Colombia (FARC),4,11
1997,Colombia,Totoro,2.51379,-76.38945,,Unknown,Private Citizens & Property,Revolutionary Armed Forces of Colombia (FARC),4,11
1997,India,Hyderabad,17.376812,78.487812,"11/19/1997: A car bomb exploded in Hyderabad in the province of Andhra Pradesh, India.  The explosion occurred outside of a movie premier, killed 23 people and wounded 31 others.  The extent of the property damage is unknown, however it is known that at least two cars were damaged.  The motives behind the attack are unclear and no one has ever claimed responsibility.",Bombing/Explosion,Private Citizens & Property,Unknown,23,31
1997,Algeria,Oved Zitoun,36.1925,1.720278,,Armed Assault,Private Citizens & Property,Unknown,8,9
1997,Algeria,Labrache,,,,Armed Assault,Private Citizens & Property,Unknown,7,5
1997,Peru,Tocache,-8.18885,-76.510838,,Armed Assault,Military,Shining Path (SL),7,7
1997,Philippines,Legazpi,13.147154,123.748632,,Armed Assault,Police,New People's Army (NPA),5,4
1997,Algeria,El Affroun,36.46748,2.622849,,Armed Assault,Private Citizens & Property,Unknown,4,7
1997,India,Coimbatore,11.016845,76.955832,,Armed Assault,Police,Unknown,10,11
1997,Sri Lanka,Kovikulam,8.737531,80.506334,,Armed Assault,Military,Liberation Tigers of Tamil Eelam (LTTE),8,5
1997,India,Churanchandpur,24.346092,93.699904,,Armed Assault,Military,Unknown,25,15
1997,India,Thottipalayam,11.079703,77.175836,,Bombing/Explosion,Transportation,Unknown,10,75
1997,India,Thottipalayam,11.079703,77.175836,,Bombing/Explosion,Transportation,Unknown,10,75
1997,India,Thottipalayam,11.079703,77.175836,,Bombing/Explosion,Transportation,Unknown,10,75
1997,Sri Lanka,Batticaloa,7.733107,81.68882,,Bombing/Explosion,Private Citizens & Property,Liberation Tigers of Tamil Eelam (LTTE),4,28
1997,Rwanda,Mutura,-1.587877,29.381578,,Armed Assault,Private Citizens & Property,Hutu extremists,271,227
1997,Algeria,Larba,36.56522,3.153934,,Armed Assault,Private Citizens & Property,Unknown,31,17
1997,Algeria,Blida,36.480453,2.83388,,Bombing/Explosion,Private Citizens & Property,Unknown,4,21
1997,Senegal,Niakhoum,,,,Armed Assault,Transportation,Movement of Democratic Forces of Casamance,4,5
1997,Somalia,Hudur,4.120602,43.890526,,Armed Assault,Terrorists/Non-State Militia,Rahanwein Resistance Army (RRA),25,35
1997,India,New Delhi,28.585836,77.153336,,Bombing/Explosion,Transportation,Unknown,4,24
1998,Burundi,Bujumbura,-3.375828,29.364107,"01/01/1998: Hutu Rebels attacked a Burundi military target at Bujumbura Airport. The attack resulted in 104 fatalities, including 100 perpetrators, and six injuries.",Armed Assault,Military,Hutu extremists,104,6
1998,Burundi,Bujumbura,-3.375828,29.364107,"01/17/1998: Unnamed perpetrators attacked a military position and civilians in Bujumbura, Burundi, causing 32 deaths and 12 injuries.",Armed Assault,Military,Unknown,32,12
1998,Sri Lanka,Punkudutivu,9.589647,79.824071,"01/22/1998: The Liberation Tigers of Tamil Eelam (LTTE) attacked the Eelam People's Democratic Party (EPDP) offices in Mandiala, Sri Lanka, killing eight and injuring 12.",Armed Assault,Private Citizens & Property,Liberation Tigers of Tamil Eelam (LTTE),13,12
1998,Sri Lanka,Kandy,7.29384,80.640669,"01/25/1998: Liberation Tigers of Tamil Eelam (LTTE) suicide bombers attacked the Dalada Maligawa Buddhist shrine in Kandy, Sri Lanka, killing 11 and injuring 15.",Bombing/Explosion,Religious Figures/Institutions,Liberation Tigers of Tamil Eelam (LTTE),13,15
1998,Algeria,Frenda,35.066667,1.05,"1/26/1998: Twenty people were killed and four were injured in an attack in Frenda, Tiaret, Algeria.  No claim of responsibility was reported.  No attack method or weapon type reported.",Unknown,Private Citizens & Property,Unknown,20,4
1998,Sri Lanka,Wakianeri,7.785305,81.427899,"01/28/1998: In one of two related attacks, the Liberation Tigers of Tamil Eelam (LTTE) attacked an Army encampment in Wakianeri in Eastern Sri Lanka, killing 16 and injuring 11.",Armed Assault,Military,Liberation Tigers of Tamil Eelam (LTTE),16,11
1998,Burundi,Bujumbura,-3.375828,29.364107,"02/02/1998: Outside of the capital city of Bujumbura, Burundi, 60 Hutu rebels killed six people and wounded six others with machetes and knives.",Armed Assault,Private Citizens & Property,Hutu extremists,6,6
1998,Sri Lanka,Colombo,6.941837,79.861687,"02/06/1998: A female suicide bomber blew herself up at a military checkpoint, killing eight other people and wounding more than 15 in Colombo just hours after Prince Charles flew out of the Sri Lankan capital. The bomber was a member of the Liberation Tamil Tigers of Eelam (LTTE).",Bombing/Explosion,Military,Liberation Tigers of Tamil Eelam (LTTE),9,15
1998,Burundi,Minago,-3.805833,29.348611,02/12/1998: Twenty-five people died and 46 were wounded in an attack by extremist Hutu Rebels in Minago in the Rumonge district of southern Burundi.,Armed Assault,Private Citizens & Property,Hutu extremists,25,46
1998,Sri Lanka,Mankulam,9.136988,80.445169,02/15/1998: Fresh fighting broke out in Sri Lanka when Liberation Tigers of Tamil Eelam (LTTE) guerrillas launched a major mortar bomb attack against troops advancing on the rebel-held town of Mankulam. Unconfirmed reports placed the number of troops killed at 20 with more than 115 wounded.,Bombing/Explosion,Military,Liberation Tigers of Tamil Eelam (LTTE),20,115
1998,Angola,Capupa,-13.430885,14.283108,"02/18/1998: Four people, three of them police officers, were killed in an attack attributed to former National Union for the Total Independence of Angola (UNITA) rebels in Capupa in the southern Angolan province of Benguela. Seven others were injured in the attack.",Armed Assault,Police,National Union for the Total Independence of Angola (UNITA),5,7
1998,Algeria,El Affroun,36.46748,2.622849,"02/21/1998: A bomb exploded under a passing train in Algeria, killing 18 people and injuring 25 others. The bomb, planted on the train tracks, was set off near the town of El Affroune, 20 km south of Algiers. There was no claim of responsibility.",Bombing/Explosion,Transportation,Unknown,18,25
1998,Algeria,Medea,36.266667,2.75,"02/26/1998: A bus hit a mine planted on a road near the town of Medea, about 60 miles south of Algiers, Algeria, killing 10 people and wounding 13 others. Unidentified attackers put the mine on the road just before the bus passed.",Bombing/Explosion,Transportation,Unknown,10,13
1998,Pakistan,Faisalabad,31.408822,73.083021,02/26/1998: Four people were killed and more than 30 injured when a powerful bomb exploded in a passenger train near the city of Faisalabad in Pakistan. No group claimed responsibility for the attack.,Bombing/Explosion,Transportation,Unknown,4,30
1998,Pakistan,Gujranwala,32.156489,74.187658,02/27/1998: At least five people were killed and 16 injured when a bomb exploded in a bus at Gujranwala in the Pakistani province of Punjab. No group claimed responsibility for the attack.,Bombing/Explosion,Transportation,Unknown,5,16
1998,Pakistan,Karachi,24.891115,67.143311,"02/28/1998: In one of two related incidents, two simultaneous bombs went off in Karachi, Pakistan, collectively killing eight and injuring twenty-three. This bomb exploded in a hardware store. No group claimed responsibility for the attack.",Bombing/Explosion,Business,Unknown,4,12
1998,Pakistan,Karachi,24.891115,67.143311,"02/28/1998: In one of two related incidents, two simultaneous bombs went off in Karachi, Pakistan, collectively killing eight and injuring twenty-three. This bomb exploded in a music store. No group claimed responsibility for the attack.",Bombing/Explosion,Business,Unknown,4,11
1998,Sri Lanka,Colombo,6.941837,79.861687,"03/05/1998: A suicide bomber from the Liberation Tigers of Tamil Eelam (LTTE) detonated his device while riding on a public bus in Colombo, Sri Lanka. The explosion killed 37 people, injured 260 and caused extensive damage to the bus and surrounding area.",Bombing/Explosion,Transportation,Liberation Tigers of Tamil Eelam (LTTE),37,260
1998,Sri Lanka,Nainamadu,9.040794,80.582727,"03/05/1998: The Liberation Tigers of Tamil Eelam (LTTE) detonated a land mine as a truck carrying Naval troops passed over it in Nainamadu, Sri Lanka. This attack was an attempt to free some of their comrades. The attacked killed nine, injured five, and damaged the truck.",Bombing/Explosion,Military,Liberation Tigers of Tamil Eelam (LTTE),9,5
1998,Pakistan,Quetta,30.200819,66.994354,"03/09/1998: Unknown assailants attacked the Chiltan Express Train in the Balochistan Province in Quetta, Pakistan. Six people were killed in the attack and 34 were injured.",Bombing/Explosion,Transportation,Unknown,6,34
1998,Sri Lanka,Eravur,7.775413,81.606247,"03/09/1998: The Liberation Tigers of Tamil Eelam (LTTE) blew up a truck in Eravur, Sri Lanka. The powerful bomb, which was hidden inside bags of rice, killed six and injured 30 civilians.",Bombing/Explosion,Private Citizens & Property,Liberation Tigers of Tamil Eelam (LTTE),6,30
1998,Sri Lanka,Trincomalee,8.577826,81.218719,03/11/1998: The Liberation Tigers of Tamil Eelam (LTTE) rammed an explosive laden boat into a Sri Lankan Navy craft in Trincomalee. Four people died including two of the perpetrators. Five Sri Lankan sailors were also injured in the attack.,Bombing/Explosion,Military,Liberation Tigers of Tamil Eelam (LTTE),4,5
1998,Thailand,Mae Sot District,16.723537,98.584374,"03/11/1998: The Democratic Karen Buddhist Army (DKBA) attacked the Huay Kaloke Myanmar Refugee Camp in the Mae Sot District of Thailand with guns and grenades, causing severe damage. Four people were killed and 39 were injured during the attack.",Armed Assault,Private Citizens & Property,Democratic Karen Buddhist Army (DKBA),4,39
1998,Algeria,Sidi Bakhti,35.339722,3.526944,"03/12/1998: Unknown assailants used guns to attack a market in Sidi Bakhti, Algeria, killing 10 people and injuring five. No group or individual claimed credit for this attack.",Armed Assault,Private Citizens & Property,Unknown,10,5
1998,Sri Lanka,Mankulam,9.136988,80.445169,"03/14/1998: The Liberation Tigers of Tamil (LTTE) attacked the Sri Lankan Military in Mankulam, Sri Lanka. Thirty people were killed and over 100 were injured.",Bombing/Explosion,Military,Liberation Tigers of Tamil Eelam (LTTE),30,100
1998,Pakistan,Hangu,33.443839,70.907124,"03/21/1998: The Sunni Islamic extremist group Sipah-e-Sahabah attacked a group of Shi'ites while they were celebrating the Persian New Year in Hangu, Pakistan's crowded bazaar. Nine people were killed and another nine were injured in the attack.",Armed Assault,Private Citizens & Property,Sipah-e-Sahaba/Pakistan (SSP),9,9
1998,Egypt,Cairo,28.491669,30.802621,"03/22/1998: Jamaat-e-Islami militants rampaged the Bani Mazar village near Cairo, Egypt, killing four policemen and wounding fourteen villagers.",Armed Assault,Private Citizens & Property,Al-Gama'at al-Islamiyya (IG),4,14
1998,Rwanda,Ruhengeri District,-1.503763,29.632642,"03/29/1998: Hutu Interahamwe militiamen attacked the Kinigi Displaced Peoples' Camp in the Ruhengeri district of Rwanda. Twenty people were killed and 42 were wounded in the attack. In addition, the militiamen freed 29 prisoners from the local authority offices that were next to the camp.",Armed Assault,Private Citizens & Property,Hutu extremists,20,42
1998,Georgia,Zugdidi,42.502066,41.861007,"04/05/1998: Five people were killed and six were injured when Sergo Meskhia and Bezhane Gvazare opened fire on a funeral procession in Zugdidi, Georgia.",Armed Assault,Private Citizens & Property,Unknown,5,6
1998,Pakistan,Sakrand,26.140769,68.272282,"04/06/1998: Six people were killed and 30 were injured when a bomb in a bus exploded in the town of Sakrand, Pakistan. The bus was damaged from the explosion. No group or individual claimed credit for this attack.",Bombing/Explosion,Transportation,Unknown,6,30
1998,Algeria,Bir el Ater,34.752182,8.058859,"04/07/1998: A gas pipeline was attacked by unidentified perpetrators in Bir el Ater, Algeria, near the border with Tunisia. The attack caused minor damage to the pipeline, killed six people and injured 14 others.",Bombing/Explosion,Utilities,Unknown,6,14
1998,Uganda,Kyabarungira,0.169899,30.078078,"04/09/1998: In one of two linked incidents, suspected members of the Allied Democratic Forces (ADF) attacked Kyabarungira village, Uganda killing 7 people, wounding 4, and kidnapping 15 people. The fate of the kidnapped was unknown.",Armed Assault,Private Citizens & Property,Allied Democratic Forces (ADF),7,4
1998,Uganda,Kicwanga,1.975278,31.998611,"04/09/1998: In one of two linked incidents, suspected members of the Allied Democratic Forces (ADF) attacked Kicwanga village, Uganda, killing 6 people, wounding 5, and kidnapping 15. The fate of the kidnapped was unknown.",Armed Assault,Private Citizens & Property,Allied Democratic Forces (ADF),6,5
1998,Russia,Mozdok,43.645784,44.681995,"04/16/1998: Chechen Rebels used explosives to attack the Russian Military, killing five people, including a major general and two colonels and injuring eight others in Chechnya, Russia.",Bombing/Explosion,Military,Unknown,5,8
1998,Algeria,Blida,36.480453,2.83388,"04/21/1998: The Armed Islamic Group (GIA) fired two homemade explosive shells at the garrison town of Blida, Algeria. Five were killed and forty were injured in this attack.",Bombing/Explosion,Military,Armed Islamic Group (GIA),5,40
1998,Colombia,Puerto Alvira,2.901667,-71.74742,"05/04/1998: Approximately 200 members of an unnamed paramilitary group attacked a group of civilians in Puerto Alvira, Colombia, leaving 21 people dead, six wounded, and eight missing. The paramilitary group accused the people of acting in support of guerilla groups in the area.",Hostage Taking (Kidnapping),Private Citizens & Property,Unknown,21,6
1998,Algeria,Algiers,36.763763,3.055413,"05/22/1998: A bomb exploded in the market of a suburb in Algiers, Algeria, killing 16 people and wounding more than 60. The Armed Islamic Group (GIA) was suspected in the attack.",Bombing/Explosion,Private Citizens & Property,Armed Islamic Group (GIA),16,60
1998,Algeria,Khemis Miliana,36.266667,2.216667,"05/26/1998: Seven people were killed and eight others injured by a suspected Armed Islamic Group (GIA) bomb attack, which took place in a fruit and vegetable market in Khemis Miliana, a town about 60 miles southwest of Algiers, Algeria.",Bombing/Explosion,Private Citizens & Property,Armed Islamic Group (GIA),7,8
1998,Algeria,Unknown,36.480499,2.833905,"05/27/1998: Eleven people were killed and 50 were injured in an overnight bomb attack on a village in the Blida region of Algeria, 50 km south of Algiers. The Armed Islamic Group (GIA) was suspected in this incident.",Bombing/Explosion,Private Citizens & Property,Armed Islamic Group (GIA),11,50
1998,Pakistan,Tando Masti,27.439135,68.644449,"06/05/1998: A bomb planted in an economy class carriage on a Peshawar-bound Khyber Mail express train exploded when it reached Tandu Masti, Pakistan, killing 23 and injuring 32. Witnesses stated that the bomb wrecked two carriages. Pakistani officials accused India's Research and Analysis Wing (RAW) for staging this attack; however, India denied any involvement.",Bombing/Explosion,Transportation,Unknown,23,32
1998,Algeria,Ain Torki,36.332778,2.301389,"6/11/1998: Suspected members of the Armed Islamic Group (GIA) detonated a homemade bomb targeting a passenger train travelling through Ain Tourki, Algeria.  Twelve civilians were killed and twenty-one others were wounded by the blast.",Bombing/Explosion,Transportation,Armed Islamic Group (GIA),12,21
1998,Algeria,Hamaida,36.057981,2.943878,"6/17/1998: Unknown perpetrators, believed to be affiliated with the Islamic insurgency in Algeria, slit the throats of thirteen civilians in Hamaida, Algeria.  Six others were wounded in this overnight attack as well.",Armed Assault,Private Citizens & Property,Algerian Islamic Extremists,13,6
1998,Pakistan,Karachi,24.891115,67.143311,"06/18/1998: A timed explosive device, which was left on a motorcycle parked near the main entrance of the Sindh Government Secretariat by an unknown perpetrator, exploded in Karachi, Pakistan. The explosion injured 14 people and killed 10. In addition to this attack, the Karachi Stock Exchange (KSE) was also targeted.",Bombing/Explosion,Government (General),Unknown,10,14
1998,India,Chapnali,33.778175,76.576171,"06/19/1998: Five men with automatic rifles ambushed a group of Hindu revelers returning from a wedding in Chapnali, Kashmir, India, killing 25 people and injuring six. The gunmen emerged from the woods as the wedding party was resting by a stream. Police officials blamed Pakistan-backed Islamic separatists. None of Kashmir's separatist groups claimed responsibility.",Armed Assault,Private Citizens & Property,Unknown,25,6
1998,Algeria,Algiers,36.763763,3.055413,"07/09/1998: Unknown perpetrators planted a bomb in the crowded Oued Market on Wedkenee street in Algiers, Algeria. The attack resulted in 17 deaths and 42 people injured.",Bombing/Explosion,Private Citizens & Property,Unknown,13,42
1998,Georgia,Pichori,42.451636,41.563931,"07/12/1998: Georgian extremists were suspected of planting a mine that killed five Russian peacekeepers and wounded five others when their vehicle hit the mine in the town of Pichora, Abkhazia, Georgia.",Bombing/Explosion,Military,Unknown,5,5
1998,Sri Lanka,Rambakulam,8.682778,80.498611,"07/15/1998: Parliament member S. Shanmuganathan, representing the People's Liberation Organization of Tamil Eelam (PLOTE), his three-year-old son, and two police officers were killed in a claymore land mine attack near the MP's home at Rambaikulam in the town of Vavuniya,  Sri Lanka, as Shanmuganathan and his family were returning home in their private van, from a Buddhist temple ceremony at which he was guest of honor.  His wife and three other police bodyguards sustained injuries from the incident.  The van was destroyed as it drove over the land mine, which is believed to have been triggered manually by remote control.  The perpetrators were suspected to be the Liberation Tigers of Tamil Eelam (LTTE).",Assassination,Government (General),Liberation Tigers of Tamil Eelam (LTTE),4,4
1998,India,Swaram,33.778175,76.576171,"07/28/1998: Unknown perpetrators attacked the village of Sarwan, India, killing nine and wounding five.",Armed Assault,Private Citizens & Property,Unknown,9,5
1998,India,Dhamdhama,26.556685,91.479862,"07/29/1998: The Bodo Liberation Tiger Force was suspected of planting a bomb that exploded at the Dhamdhama weekly market, killing eleven and wounding twenty-nine others.",Bombing/Explosion,Private Citizens & Property,Bodo Liberation Tigers (BLT),11,29
1998,Algeria,Balloul,34.991066,0.476189,"08/02/1998: A passenger bus was stopped at a fake roadblock in Belloul, Algeria, and the passengers were attacked by a unknown group, which resulted in the killing of 12 people and the wounding of six others.",Armed Assault,Transportation,Unknown,12,6
1998,India,Kalaban,32.501944,76.021667,"08/03/1998: Unknown perpetrators armed with automatic weapons swooped in on housing road construction laborers while they were asleep in Kalabanh, India, killing 26 and injuring 11. No further information on this incident was provided.",Armed Assault,Business,Unknown,26,11
1998,Kenya,Nairobi,-1.28518,36.821107,"08/07/1998: Suicide attackers detonated a vehicle bomb outside of the United States Embassy in Nairobi, Kenya, killing 224 people, including 12 Americans. Four thousand people were also injured in the attack, which was perpetrated by Al-Qaida.",Bombing/Explosion,Government (Diplomatic),Al-Qaida,224,4000
1998,Tanzania,Dar es Salaam,-6.813546,39.239418,"08/07/1998: Suicide attackers detonated a vehicle bomb outside of the United States Embassy in Dar Es Salaam, Tanzania, killing 11 people. Eighty-five people were also injured in the attack, which was perpetrated by Al-Qaida.",Bombing/Explosion,Government (Diplomatic),Al-Qaida,11,85
1998,Algeria,Hammam Righa,36.378853,2.397214,"08/12/1998: The Algiers-Oran train was attacked in Hammam Righa, Algeria, by a bomb that was planted along the railway line. Seven passengers were killed and eleven were wounded. No one claimed responsibility for the attack.",Bombing/Explosion,Transportation,Unknown,7,11
